venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,"AT Rayudu, CM Gautam, LMP Simmons","IK Pathan, DW Steyn, B Kumar",38
JSCA International Stadium Complex,1,Rajasthan Royals,Chennai Super Kings,"SR Watson, Ankit Sharma","S Badree, R Ashwin, MM Sharma, IC Pandey",42
JSCA International Stadium Complex,2,Chennai Super Kings,Rajasthan Royals,"DR Smith, F du Plessis, BB McCullum, SK Raina","KK Cooper, JP Faulkner, PV Tambe, Ankit Sharma",48
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"PA Patel, CH Gayle, V Kohli","Mohammed Shami, JP Duminy, R Shukla, S Kaul",34
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"Q de Kock, M Vijay, MA Agarwal, KP Pietersen","YS Chahal, MA Starc, AN Ahmed, M Muralitharan",46
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Punjab Kings,"AJ Finch, S Dhawan","Sandeep Sharma, MG Johnson",55
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Sunrisers Hyderabad,"M Vohra, V Sehwag, WP Saha","MC Henriques, DW Steyn, B Kumar, KV Sharma",86
Barabati Stadium,1,Mumbai Indians,Kolkata Knight Riders,"AT Rayudu, RG Sharma, CM Gautam, LMP Simmons","SP Narine, M Morkel, UT Yadav, Shakib Al Hasan",37
Barabati Stadium,2,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, RV Uthappa","Harbhajan Singh, JJ Bumrah, SL Malinga, PP Ojha",45
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Capitals,"KK Nair, KK Cooper, AM Rahane","JP Duminy, S Kaul, R Shukla, S Nadeem",52
"Sardar Patel Stadium, Motera",2,Delhi Capitals,Rajasthan Royals,"KD Karthik, JP Duminy, MA Agarwal, KP Pietersen","DS Kulkarni, JP Faulkner, KK Cooper, BCJ Cutting",34
JSCA International Stadium Complex,1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, SK Raina, BB McCullum, DJ Hussey","VR Aaron, MA Starc, AN Ahmed, M Muralitharan",39
JSCA International Stadium Complex,2,Royal Challengers Bangalore,Chennai Super Kings,"PA Patel, CH Gayle, V Kohli","S Badree, R Ashwin, MM Sharma",17
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"NV Ojha, AJ Finch, S Dhawan","M Morkel, UT Yadav, SP Narine",41
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"G Gambhir, MK Pandey, RV Uthappa","DJG Sammy, DW Steyn, B Kumar, KV Sharma",30
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,"MEK Hussey, LMP Simmons","DS Kulkarni, JP Faulkner, KK Cooper, Ankit Sharma",42
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,"KK Nair, SR Watson, UBT Chand, SV Samson","K Santokie, PP Ojha, JJ Bumrah, KA Pollard",47
Feroz Shah Kotla,1,Delhi Capitals,Punjab Kings,"KD Karthik, M Vijay, KP Pietersen","Sandeep Sharma, AR Patel, BE Hendricks",55
Feroz Shah Kotla,2,Punjab Kings,Delhi Capitals,"M Vohra, V Sehwag","JD Unadkat, Mohammed Shami, WD Parnell",66
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel, CH Gayle, Yuvraj Singh, V Kohli","KV Sharma, DW Steyn, B Kumar, Parvez Rasool",25
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,"S Dhawan, DA Warner","VR Aaron, MA Starc, AN Ahmed, M Muralitharan",51
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"DR Smith, BB McCullum, SK Raina","SP Narine, PJ Cummins, UT Yadav, Shakib Al Hasan",35
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"G Gambhir, RV Uthappa","R Ashwin, MM Sharma, BW Hilfenhaus, IC Pandey",52
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,"M Vohra, V Sehwag, SE Marsh","P Kumar, K Santokie, PP Ojha, JJ Bumrah",48
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,"MEK Hussey, LMP Simmons","R Dhawan, Sandeep Sharma, AR Patel, BE Hendricks",62
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"G Gambhir, YK Pathan, MK Pandey, RV Uthappa","AB Dinda, MA Starc, AN Ahmed, M Muralitharan",45
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"YV Takawale, CH Gayle, V Kohli","M Morkel, UT Yadav, SP Narine",36
JSCA International Stadium Complex,1,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith, SK Raina, F du Plessis","DW Steyn, Parvez Rasool, B Kumar, KV Sharma",60
JSCA International Stadium Complex,2,Sunrisers Hyderabad,Chennai Super Kings,"S Dhawan, DA Warner","R Ashwin, MM Sharma, JW Hastings",64
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Delhi Capitals,"MEK Hussey, LMP Simmons","JD Unadkat, S Kaul, WD Parnell, S Nadeem",65
"Wankhede Stadium, Mumbai",2,Delhi Capitals,Mumbai Indians,"KD Karthik, M Vijay, KP Pietersen","S Gopal, M de Lange, PP Ojha, JJ Bumrah",47
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,"M Vohra, V Sehwag, SE Marsh","KK Cooper, VS Malik, SR Watson, JP Faulkner",53
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,"KK Nair, SV Samson, AM Rahane","R Dhawan, L Balaji, AR Patel, BE Hendricks",44
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"Yuvraj Singh, YV Takawale, RR Rossouw, VH Zol, V Kohli","S Badree, R Ashwin, MM Sharma, A Nehra",34
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, SK Raina, F du Plessis","MA Starc, SB Jakati, R Rampaul",64
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan, NV Ojha, DA Warner","R Vinay Kumar, M Morkel, SP Narine",49
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"G Gambhir, MK Pandey, RV Uthappa","DW Steyn, JO Holder, B Kumar",49
"Punjab Cricket Association Stadium, Mohali",1,Delhi Capitals,Punjab Kings,"KD Karthik, MA Agarwal, KP Pietersen, KM Jadhav","P Awana, AR Patel, MG Johnson",44
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Delhi Capitals,"M Vohra, GJ Maxwell, V Sehwag, DA Miller","JD Unadkat, Mohammed Shami, JDS Neesham",48
"Wankhede Stadium, Mumbai",1,Rajasthan Royals,Mumbai Indians,"SV Samson, SR Watson","Harbhajan Singh, PP Ojha, JJ Bumrah, CJ Anderson",35
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Rajasthan Royals,"CJ Anderson, KA Pollard, MEK Hussey, LMP Simmons, RG Sharma","DS Kulkarni, JP Faulkner, SR Watson, KK Cooper",71
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,"G Gambhir, MK Pandey, RV Uthappa","R Dhawan, P Awana, AR Patel, MG Johnson",55
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,"M Vohra, V Sehwag, WP Saha","Shakib Al Hasan, M Morkel, UT Yadav, SP Narine",46
Brabourne Stadium,1,Mumbai Indians,Chennai Super Kings,"MEK Hussey, LMP Simmons","MM Sharma, A Nehra, IC Pandey",53
Brabourne Stadium,2,Chennai Super Kings,Mumbai Indians,"DR Smith, F du Plessis","P Kumar, JJ Bumrah, CJ Anderson",60
"Wankhede Stadium, Mumbai",1,Punjab Kings,Chennai Super Kings,"M Vohra, V Sehwag","MM Sharma, A Nehra, IC Pandey",70
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Punjab Kings,"DR Smith, SK Raina, F du Plessis","P Awana, Sandeep Sharma, MG Johnson",100
M.Chinnaswamy Stadium,1,Punjab Kings,Kolkata Knight Riders,"M Vohra, GJ Bailey, V Sehwag, WP Saha","M Morkel, UT Yadav, SP Narine",32
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Punjab Kings,"G Gambhir, MK Pandey, RV Uthappa","P Awana, L Balaji, MG Johnson",59
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"CJ Anderson, AJ Finch, AT Rayudu, RG Sharma, AP Tare","M Morkel, UT Yadav, Shakib Al Hasan",37
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, MK Pandey, RV Uthappa","R Vinay Kumar, JJ Bumrah, SL Malinga, CJ Anderson",38
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,"DR Smith, F du Plessis, BB McCullum, SK Raina","NM Coulter-Nile, JA Morkel, DJ Muthuswami",59
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,"KM Jadhav, MA Agarwal, JA Morkel, CM Gautam, SS Iyer","MM Sharma, A Nehra",40
Maharashtra Cricket Association Stadium,1,Rajasthan Royals,Punjab Kings,"SV Samson, KK Nair, SPD Smith, AM Rahane","Sandeep Sharma, AR Patel, Anureet Singh",35
Maharashtra Cricket Association Stadium,2,Punjab Kings,Rajasthan Royals,"GJ Maxwell, V Sehwag, M Vijay, WP Saha","DS Kulkarni, JP Faulkner, CH Morris, TG Southee",51
MA Chidambaram Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith, BB McCullum","I Sharma, TA Boult, B Kumar, KV Sharma",49
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,"KL Rahul, S Dhawan, DA Warner","MM Sharma, A Nehra",46
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"G Gambhir, RV Uthappa","VR Aaron, HV Patel, AN Ahmed, SA Abbott",53
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"KD Karthik, CH Gayle, V Kohli","KC Cariappa, M Morkel, SP Narine",41
Feroz Shah Kotla,1,Delhi Capitals,Rajasthan Royals,"JP Duminy, MA Agarwal, SS Iyer","DS Kulkarni, PV Tambe, CH Morris, TG Southee, DJ Hooda",51
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Capitals,"SV Samson, SPD Smith, AM Rahane","AD Mathews, JD Unadkat, NM Coulter-Nile",42
"Wankhede Stadium, Mumbai",1,Punjab Kings,Mumbai Indians,"V Sehwag, M Vijay","R Vinay Kumar, P Suyal, SL Malinga",57
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Punjab Kings,"CJ Anderson, AJ Finch, AT Rayudu, RG Sharma, AP Tare","Sandeep Sharma, MG Johnson, Anureet Singh",17
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"KD Karthik, CH Gayle, V Kohli","P Kumar, TA Boult, B Kumar",47
M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"S Dhawan, DA Warner","VR Aaron, HV Patel, AN Ahmed, SA Abbott",65
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,"PA Patel, RG Sharma, AJ Finch, UBT Chand","DS Kulkarni, STR Binny, CH Morris, TG Southee",31
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,"SV Samson, SPD Smith, AM Rahane","R Vinay Kumar, P Suyal, SL Malinga",42
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"SK Raina, BB McCullum, F du Plessis, DR Smith, DJ Bravo, MS Dhoni","PP Chawla, UT Yadav, PJ Cummins, GB Hogg",69
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"G Gambhir, MK Pandey, RV Uthappa","MM Sharma, A Nehra",38
Maharashtra Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,"V Sehwag, M Vijay, WP Saha","AD Mathews, NM Coulter-Nile, DJ Muthuswami",41
Maharashtra Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,"JP Duminy, MA Agarwal, SS Iyer","Sandeep Sharma, MG Johnson, Anureet Singh",47
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"KL Rahul, EJG Morgan, S Dhawan, DA Warner","DS Kulkarni, CH Morris, TG Southee, DJ Hooda",35
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"SV Samson, AM Rahane","P Kumar, TA Boult, B Kumar",36
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Chennai Super Kings,"PA Patel, CJ Anderson, Harbhajan Singh, LMP Simmons, RG Sharma","MM Sharma, A Nehra, IC Pandey",31
"Wankhede Stadium, Mumbai",2,Chennai Super Kings,Mumbai Indians,"DR Smith, BB McCullum","P Suyal, Harbhajan Singh, J Suchith, SL Malinga",90
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"JP Duminy, MA Agarwal, SS Iyer","P Kumar, DW Steyn, B Kumar",40
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"S Dhawan, DA Warner","AD Mathews, NM Coulter-Nile, DJ Muthuswami, JP Duminy",50
Maharashtra Cricket Association Stadium,1,Punjab Kings,Kolkata Knight Riders,"M Vijay, GJ Maxwell, V Sehwag, GJ Bailey, WP Saha","AD Russell, M Morkel, UT Yadav",48
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Punjab Kings,"G Gambhir, SA Yadav, MK Pandey, RV Uthappa","Sandeep Sharma, MG Johnson, Anureet Singh",53
"Sardar Patel Stadium, Motera",1,Chennai Super Kings,Rajasthan Royals,"DR Smith, F du Plessis, BB McCullum, SK Raina","JP Faulkner, Ankit Sharma, PV Tambe, CH Morris, DJ Hooda",39
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Chennai Super Kings,"SR Watson, AM Rahane","A Nehra, MM Sharma, IC Pandey",47
M.Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"PA Patel, UBT Chand, LMP Simmons","D Wiese, AN Ahmed, Iqbal Abdulla, VR Aaron",48
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"MS Bisla, CH Gayle, V Kohli","Harbhajan Singh, MJ McClenaghan, JJ Bumrah, SL Malinga",33
Feroz Shah Kotla,1,Delhi Capitals,Kolkata Knight Riders,"MK Tiwary, JP Duminy, MA Agarwal, SS Iyer","AD Russell, M Morkel, UT Yadav, SP Narine",34
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Capitals,"G Gambhir, SA Yadav, MK Pandey, RV Uthappa","AD Mathews, NM Coulter-Nile, DJ Muthuswami",48
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Punjab Kings,"SR Watson, AM Rahane","Sandeep Sharma, MG Johnson, Anureet Singh",43
"Sardar Patel Stadium, Motera",2,Punjab Kings,Rajasthan Royals,"SE Marsh, V Sehwag, M Vijay","STR Binny, JP Faulkner, PV Tambe, CH Morris",40
"Sardar Patel Stadium, Motera",3,Punjab Kings,Rajasthan Royals,"SE Marsh, DA Miller, GJ Maxwell",CH Morris,15
"Sardar Patel Stadium, Motera",4,Rajasthan Royals,Punjab Kings,"JP Faulkner, SR Watson, SPD Smith",MG Johnson,6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan, DA Warner","J Botha, M Morkel, SP Narine",43
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,"AD Russell, G Gambhir, MK Pandey, RV Uthappa","P Kumar, DW Steyn, MC Henriques, B Kumar, KV Sharma",49
M.Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, BB McCullum, SK Raina","D Wiese, YS Chahal, MA Starc, HV Patel",45
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"KD Karthik, MS Bisla, RR Rossouw, V Kohli","A Nehra, MM Sharma, IC Pandey",38
Feroz Shah Kotla,1,Delhi Capitals,Mumbai Indians,"JP Duminy, MA Agarwal, SS Iyer","Harbhajan Singh, MJ McClenaghan, JJ Bumrah, SL Malinga",45
Feroz Shah Kotla,2,Mumbai Indians,Delhi Capitals,"PA Patel, UBT Chand, LMP Simmons","AD Mathews, NM Coulter-Nile, DJ Muthuswami, JP Duminy",48
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Royal Challengers Bangalore,"KK Nair, SR Watson, SPD Smith, AM Rahane","YS Chahal, MA Starc, Iqbal Abdulla, HV Patel",48
"Sardar Patel Stadium, Motera",2,Royal Challengers Bangalore,Rajasthan Royals,"AB de Villiers, CH Gayle, V Kohli","DS Kulkarni, JP Faulkner, SR Watson, CH Morris",49
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Sunrisers Hyderabad,"PA Patel, UBT Chand, LMP Simmons","DW Steyn, TA Boult, B Kumar",46
"Wankhede Stadium, Mumbai",2,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, DA Warner","Harbhajan Singh, SL Malinga, MJ McClenaghan",52
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,"DR Smith, BB McCullum, SK Raina","Karanveer Singh, Sandeep Sharma, MG Johnson, Anureet Singh",54
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,"SE Marsh, GJ Bailey, V Sehwag, M Vijay","A Nehra, MM Sharma, IC Pandey",39
Feroz Shah Kotla,1,Delhi Capitals,Royal Challengers Bangalore,"JP Duminy, MA Agarwal, Yuvraj Singh, SS Iyer","D Wiese, HV Patel, MA Starc, VR Aaron",38
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Capitals,"CH Gayle, V Kohli","JP Duminy, NM Coulter-Nile, DJ Muthuswami, Imran Tahir",50
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Punjab Kings,"GH Vihari, S Dhawan, DA Warner","Sandeep Sharma, MG Johnson, Anureet Singh",56
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Sunrisers Hyderabad,"M Vohra, GJ Bailey, M Vijay, SE Marsh","P Kumar, TA Boult, B Kumar",36
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"G Gambhir, MK Pandey, RV Uthappa","JP Duminy, JA Morkel, Z Khan",50
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"MK Tiwary, SS Iyer","AD Russell, UT Yadav, SP Narine",36
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"Mandeep Singh, AB de Villiers, CH Gayle, V Kohli","DS Kulkarni, JP Faulkner, SR Watson, TG Southee",52
MA Chidambaram Stadium,1,Chennai Super Kings,Kolkata Knight Riders,"DR Smith, BB McCullum, SK Raina","PP Chawla, UT Yadav, PJ Cummins",53
MA Chidambaram Stadium,2,Kolkata Knight Riders,Chennai Super Kings,"G Gambhir, SA Yadav, MK Pandey, RV Uthappa","R Ashwin, A Nehra, MM Sharma, IC Pandey",54
Feroz Shah Kotla,1,Punjab Kings,Delhi Capitals,"M Vohra, DA Miller, SE Marsh, V Sehwag, GJ Bailey, WP Saha","JP Duminy, Z Khan, NM Coulter-Nile",27
Feroz Shah Kotla,2,Delhi Capitals,Punjab Kings,"MA Agarwal, SS Iyer","Sandeep Sharma, SN Thakur, Anureet Singh",41
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Rajasthan Royals,"PA Patel, UBT Chand, LMP Simmons","DS Kulkarni, SR Watson, TG Southee, J Theron",47
"Wankhede Stadium, Mumbai",2,Rajasthan Royals,Mumbai Indians,"SV Samson, SR Watson, AM Rahane","R Vinay Kumar, MJ McClenaghan, J Suchith, SL Malinga",55
M.Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"AD Russell, G Gambhir, RV Uthappa","YS Chahal, D Wiese, VR Aaron, MA Starc, HV Patel",61
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"Mandeep Singh, AB de Villiers, CH Gayle, V Kohli","GB Hogg, UT Yadav, PJ Cummins, PP Chawla",62
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Chennai Super Kings,"S Dhawan, DA Warner","RG More, MM Sharma, A Nehra",76
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith, F du Plessis, BB McCullum, SK Raina","P Kumar, TA Boult, MC Henriques, B Kumar",54
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Punjab Kings,"PA Patel, LMP Simmons","Sandeep Sharma, AR Patel, MG Johnson, Anureet Singh",51
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Mumbai Indians,"GJ Maxwell, V Sehwag, M Vijay, DA Miller","R Vinay Kumar, MJ McClenaghan, J Suchith, SL Malinga",45
Brabourne Stadium,1,Rajasthan Royals,Delhi Capitals,"SR Watson, AM Rahane","NM Coulter-Nile, GS Sandhu, Z Khan",43
Brabourne Stadium,2,Delhi Capitals,Rajasthan Royals,"JP Duminy, MA Agarwal, Yuvraj Singh, SS Iyer","DS Kulkarni, STR Binny, SR Watson, TG Southee",55
MA Chidambaram Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, BB McCullum, SK Raina","D Wiese, YS Chahal, MA Starc, HV Patel",37
MA Chidambaram Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"NJ Maddinson, KD Karthik, AB de Villiers, V Kohli","A Nehra, MM Sharma, IC Pandey",42
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"G Gambhir, RV Uthappa","P Kumar, DW Steyn, MC Henriques, B Kumar",55
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan, NV Ojha, EJG Morgan, MC Henriques, DA Warner","AD Russell, J Botha, GB Hogg, UT Yadav",33
"Wankhede Stadium, Mumbai",1,Delhi Capitals,Mumbai Indians,"JP Duminy, MA Agarwal, KM Jadhav, SS Iyer","Harbhajan Singh, R Vinay Kumar, MJ McClenaghan, SL Malinga",44
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Delhi Capitals,"PA Patel, HH Pandya, AT Rayudu, Harbhajan Singh, LMP Simmons, RG Sharma","AD Mathews, NM Coulter-Nile, Z Khan",41
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,"CH Gayle, V Kohli","Sandeep Sharma, MG Johnson, Anureet Singh",68
M.Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,"M Vohra, DA Miller, M Vijay, GJ Maxwell, GJ Bailey, WP Saha","S Aravind, MA Starc, HV Patel",34
Brabourne Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"MC Henriques, S Dhawan, DA Warner","DS Kulkarni, JP Faulkner, SR Watson, CH Morris, DJ Hooda",56
Brabourne Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"KK Nair, SR Watson, SPD Smith, AM Rahane","P Kumar, I Sharma, B Kumar",36
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,"DR Smith, BB McCullum, SK Raina","R Vinay Kumar, M de Lange, MJ McClenaghan, J Suchith",44
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,"PA Patel, LMP Simmons","R Ashwin, MM Sharma, A Nehra",61
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,"M Vohra, M Vijay, WP Saha","AD Russell, J Botha, UT Yadav, SP Narine",45
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,"G Gambhir, MK Pandey, RV Uthappa","Sandeep Sharma, AR Patel, Anureet Singh, BE Hendricks",57
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Capitals,"MC Henriques, EJG Morgan, S Dhawan, DA Warner","J Yadav, NM Coulter-Nile, Z Khan",41
Shaheed Veer Narayan Singh International Stadium,2,Delhi Capitals,Sunrisers Hyderabad,"Q de Kock, JP Duminy, SS Iyer","P Kumar, I Sharma, B Kumar, Parvez Rasool",49
"Wankhede Stadium, Mumbai",1,Royal Challengers Bangalore,Mumbai Indians,"AB de Villiers, CH Gayle, V Kohli","J Suchith, MJ McClenaghan, JJ Bumrah, SL Malinga",39
"Wankhede Stadium, Mumbai",2,Mumbai Indians,Royal Challengers Bangalore,"PA Patel, RG Sharma, LMP Simmons","D Wiese, S Aravind, MA Starc, HV Patel",45
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,"DR Smith, F du Plessis, BB McCullum, SK Raina","SR Watson, CH Morris, Ankit Sharma, PV Tambe",36
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,"SR Watson, SPD Smith, AM Rahane","MM Sharma, A Nehra",40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Punjab Kings,"S Dhawan, DA Warner","BE Hendricks, Sandeep Sharma, Gurkeerat Singh, Anureet Singh",56
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Sunrisers Hyderabad,"M Vohra, M Vijay, WP Saha","Bipul Sharma, I Sharma, TA Boult, B Kumar",47
Shaheed Veer Narayan Singh International Stadium,1,Chennai Super Kings,Delhi Capitals,"DR Smith, BB McCullum","Z Khan, S Nadeem",16
Shaheed Veer Narayan Singh International Stadium,2,Delhi Capitals,Chennai Super Kings,"Q de Kock, JP Duminy, Yuvraj Singh, SS Iyer","R Ashwin, MM Sharma, IC Pandey",28
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,"M Vohra, DA Miller, GJ Maxwell, AR Patel, GJ Bailey, WP Saha","YS Chahal, D Wiese, MA Starc, S Aravind, HV Patel",72
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Punjab Kings,"Mandeep Singh, AB de Villiers, CH Gayle, V Kohli","R Dhawan, Sandeep Sharma, Anureet Singh, BE Hendricks",61
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Kolkata Knight Riders,"PA Patel, RG Sharma, AT Rayudu, LMP Simmons","M Morkel, UT Yadav, Shakib Al Hasan",46
"Wankhede Stadium, Mumbai",2,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, YK Pathan, MK Pandey, RV Uthappa","Harbhajan Singh, R Vinay Kumar, MJ McClenaghan, SL Malinga",50
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"MC Henriques, S Dhawan, DA Warner","YS Chahal, D Wiese, MA Starc, AB Dinda, HV Patel",68
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, KD Karthik, Mandeep Singh, AB de Villiers, V Kohli","P Kumar, DW Steyn, MC Henriques, B Kumar, KV Sharma",83
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Chennai Super Kings,"M Vohra, Gurkeerat Singh, GJ Maxwell, GJ Bailey, WP Saha","P Negi, A Nehra, IC Pandey",41
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Punjab Kings,"BB McCullum, MEK Hussey, SK Raina, F du Plessis","R Dhawan, Sandeep Sharma, Gurkeerat Singh, BE Hendricks",47
